load_mw,timestamp,pca_abbrev,source
11394.31068989204,2016010714,SG,Singapore EMA
10850.79399784017,2016010715,SG,Singapore EMA
10350.29245813097,2016010716,SG,Singapore EMA
9971.543756854115,2016010717,SG,Singapore EMA
9709.151664387202,2016010718,SG,Singapore EMA
9514.635207262098,2016010719,SG,Singapore EMA
9448.048625692543,2016010720,SG,Singapore EMA
9638.669596902133,2016010721,SG,Singapore EMA
10301.8842033968,2016010722,SG,Singapore EMA
10948.78803315294,2016010723,SG,Singapore EMA
12016.19589053331,2016010800,SG,Singapore EMA
12649.46480578939,2016010801,SG,Singapore EMA
12990.46712770427,2016010802,SG,Singapore EMA
13079.66938882298,2016010803,SG,Singapore EMA
12896.32135991456,2016010804,SG,Singapore EMA
13049.08418680963,2016010805,SG,Singapore EMA
13161.39570666747,2016010806,SG,Singapore EMA
13173.90687525473,2016010807,SG,Singapore EMA
13110.98220578641,2016010808,SG,Singapore EMA
12827.60803884521,2016010809,SG,Singapore EMA
12335.60967959717,2016010810,SG,Singapore EMA
12321.44385748129,2016010811,SG,Singapore EMA
12184.67269721843,2016010812,SG,Singapore EMA
11950.12686075358,2016010813,SG,Singapore EMA
11526.59707623454,2016010814,SG,Singapore EMA
11059.00321046333,2016010815,SG,Singapore EMA
10547.12466204155,2016010816,SG,Singapore EMA
10191.35858357801,2016010817,SG,Singapore EMA
9883.660791628143,2016010818,SG,Singapore EMA
9673.562662898487,2016010819,SG,Singapore EMA
9614.844896025665,2016010820,SG,Singapore EMA
9650.886666603736,2016010821,SG,Singapore EMA
9911.94300996068,2016010822,SG,Singapore EMA
10214.73504132026,2016010823,SG,Singapore EMA
11007.25189935168,2016010900,SG,Singapore EMA
11629.34106964655,2016010901,SG,Singapore EMA
12022.40173472873,2016010902,SG,Singapore EMA
12092.39422109674,2016010903,SG,Singapore EMA
11899.66481196643,2016010904,SG,Singapore EMA
11781.10878972495,2016010905,SG,Singapore EMA
11731.39156911377,2016010906,SG,Singapore EMA
11655.58910332654,2016010907,SG,Singapore EMA
11588.51177185791,2016010908,SG,Singapore EMA
11465.72107140246,2016010909,SG,Singapore EMA
11359.79514268148,2016010910,SG,Singapore EMA
11560.88107188693,2016010911,SG,Singapore EMA
11564.11405807374,2016010912,SG,Singapore EMA
11514.31016254502,2016010913,SG,Singapore EMA
11124.55259459634,2016010914,SG,Singapore EMA
10863.74578035943,2016010915,SG,Singapore EMA
10465.55813237576,2016010916,SG,Singapore EMA
10089.0946097054,2016010917,SG,Singapore EMA
9793.562581165095,2016010918,SG,Singapore EMA
9571.925331281462,2016010919,SG,Singapore EMA
9465.698916426871,2016010920,SG,Singapore EMA
9484.412033811863,2016010921,SG,Singapore EMA
9680.116467054577,2016010922,SG,Singapore EMA
9758.715573759764,2016010923,SG,Singapore EMA
10172.87694928494,2016011000,SG,Singapore EMA
10656.55011737983,2016011001,SG,Singapore EMA
10943.67693599175,2016011002,SG,Singapore EMA
10999.16819794623,2016011003,SG,Singapore EMA
10987.64224123834,2016011004,SG,Singapore EMA
11064.20052576498,2016011005,SG,Singapore EMA
11119.47626990208,2016011006,SG,Singapore EMA
11124.80195446125,2016011007,SG,Singapore EMA
11103.4015047043,2016011008,SG,Singapore EMA
11070.698418345,2016011009,SG,Singapore EMA
11107.24241440295,2016011010,SG,Singapore EMA
11378.2576885924,2016011011,SG,Singapore EMA
11505.50888308728,2016011012,SG,Singapore EMA
11595.6182086697,2016011013,SG,Singapore EMA
11280.4405883914,2016011014,SG,Singapore EMA
10852.36729831461,2016011015,SG,Singapore EMA
10322,2016011016,SG,Singapore EMA
9952,2016011017,SG,Singapore EMA
9652,2016011018,SG,Singapore EMA
9531,2016011019,SG,Singapore EMA
9461,2016011020,SG,Singapore EMA
9701,2016011021,SG,Singapore EMA
10353,2016011022,SG,Singapore EMA
11110,2016011023,SG,Singapore EMA
12179,2016011100,SG,Singapore EMA
12913,2016011101,SG,Singapore EMA
13244,2016011102,SG,Singapore EMA
13283,2016011103,SG,Singapore EMA
13116,2016011104,SG,Singapore EMA
13218,2016011105,SG,Singapore EMA
13329,2016011106,SG,Singapore EMA
13200,2016011107,SG,Singapore EMA
13116,2016011108,SG,Singapore EMA
